2025-01-08 14:11:30,044 | ERROR    | 12564 | 21464 | site_data_processing.py:326 | process_land_data | Error in process_land_data: max() iterable argument is empty
2025-01-08 14:11:49,555 | INFO     | 12564 | 21464 | site_data_processing.py:37 | __init__ | Initializing LandDataProcessor
2025-01-08 14:11:49,589 | INFO     | 12564 | 21464 | site_data_processing.py:175 | process_land_data | Starting land data processing
2025-01-08 14:11:49,966 | ERROR    | 12564 | 21464 | site_data_processing.py:231 | process_land_data | Error processing point at index 5: list index out of range
2025-01-08 14:11:49,967 | ERROR    | 12564 | 21464 | site_data_processing.py:231 | process_land_data | Error processing point at index 6: list index out of range
2025-01-08 14:11:49,967 | INFO     | 12564 | 21464 | site_data_processing.py:235 | process_land_data | Processing boundary coordinates
2025-01-08 14:11:50,121 | INFO     | 12564 | 21464 | site_data_processing.py:91 | find_reference_point | Finding reference point among 5 points
2025-01-08 14:11:50,122 | INFO     | 12564 | 21464 | site_data_processing.py:113 | find_reference_point | Reference point found at index 4 with score 0.1510543159725632
2025-01-08 14:11:50,122 | INFO     | 12564 | 21464 | site_data_processing.py:123 | corr_arrange_points | Arranging 4 points
2025-01-08 14:11:50,123 | INFO     | 12564 | 21464 | site_data_processing.py:322 | process_land_data | Land data processing completed successfully
2025-01-08 14:12:18,248 | INFO     | 12564 | 21464 | site_data_processing.py:37 | __init__ | Initializing LandDataProcessor
2025-01-08 14:12:18,268 | INFO     | 12564 | 21464 | site_data_processing.py:175 | process_land_data | Starting land data processing
2025-01-08 14:12:18,441 | ERROR    | 12564 | 21464 | site_data_processing.py:231 | process_land_data | Error processing point at index 5: list index out of range
2025-01-08 14:12:18,441 | ERROR    | 12564 | 21464 | site_data_processing.py:231 | process_land_data | Error processing point at index 6: list index out of range
2025-01-08 14:12:18,442 | INFO     | 12564 | 21464 | site_data_processing.py:235 | process_land_data | Processing boundary coordinates
2025-01-08 14:12:18,552 | INFO     | 12564 | 21464 | site_data_processing.py:91 | find_reference_point | Finding reference point among 5 points
2025-01-08 14:12:18,552 | INFO     | 12564 | 21464 | site_data_processing.py:113 | find_reference_point | Reference point found at index 4 with score 0.07422584286319783
2025-01-08 14:12:18,552 | INFO     | 12564 | 21464 | site_data_processing.py:123 | corr_arrange_points | Arranging 4 points
2025-01-08 14:12:18,553 | INFO     | 12564 | 21464 | site_data_processing.py:322 | process_land_data | Land data processing completed successfully
2025-01-08 14:27:58,263 | INFO     | 6372 | 17836 | site_data_processing.py:37 | __init__ | Initializing LandDataProcessor
2025-01-08 14:27:58,322 | INFO     | 6372 | 17836 | site_data_processing.py:175 | process_land_data | Starting land data processing
2025-01-08 14:27:58,325 | ERROR    | 6372 | 17836 | site_data_processing.py:231 | process_land_data | Error processing point at index 0: list index out of range
2025-01-08 14:27:58,327 | ERROR    | 6372 | 17836 | site_data_processing.py:231 | process_land_data | Error processing point at index 1: list index out of range
2025-01-08 14:27:58,328 | ERROR    | 6372 | 17836 | site_data_processing.py:231 | process_land_data | Error processing point at index 2: list index out of range
2025-01-08 14:27:58,329 | ERROR    | 6372 | 17836 | site_data_processing.py:231 | process_land_data | Error processing point at index 3: list index out of range
2025-01-08 14:27:58,329 | ERROR    | 6372 | 17836 | site_data_processing.py:231 | process_land_data | Error processing point at index 4: list index out of range
2025-01-08 14:27:58,330 | ERROR    | 6372 | 17836 | site_data_processing.py:231 | process_land_data | Error processing point at index 5: list index out of range
2025-01-08 14:27:58,331 | ERROR    | 6372 | 17836 | site_data_processing.py:231 | process_land_data | Error processing point at index 6: list index out of range
2025-01-08 14:27:58,331 | INFO     | 6372 | 17836 | site_data_processing.py:235 | process_land_data | Processing boundary coordinates
2025-01-08 14:27:58,500 | INFO     | 6372 | 17836 | site_data_processing.py:91 | find_reference_point | Finding reference point among 0 points
2025-01-08 14:27:58,501 | ERROR    | 6372 | 17836 | site_data_processing.py:118 | find_reference_point | Error finding reference point: max() iterable argument is empty
2025-01-08 14:27:58,502 | ERROR    | 6372 | 17836 | site_data_processing.py:326 | process_land_data | Error in process_land_data: max() iterable argument is empty
